,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0.88,1.16,0.7,1.0,1.06,1.15,1.07,1.19,1.13,1.17,1.1,1.0,1.24,1.1,1.04,113.0,2040.0
1,0.88,1.16,0.85,1.0,1.06,1.1,1.07,1.0,0.91,1.0,0.9,0.95,1.1,1.0,1.0,293.0,1600.0
2,1.0,1.16,0.85,1.0,1.0,0.87,0.87,0.86,0.82,0.86,0.9,0.95,0.91,0.91,1.0,132.0,243.0
3,0.75,1.16,0.7,1.0,1.0,0.87,1.0,1.19,0.91,1.42,1.0,0.95,1.24,1.0,1.04,60.0,240.0
4,0.88,0.94,1.0,1.0,1.0,0.87,1.0,1.0,1.0,0.86,0.9,0.95,1.24,1.0,1.0,16.0,33.0
5,0.75,1.0,0.85,1.0,1.21,1.1,1.0,1.46,1.0,1.42,0.9,0.95,1.24,1.1,1.0,4.0,43.0
6,0.75,1.0,1.0,1.0,1.0,0.87,0.87,1.0,1.0,1.0,0.9,0.95,0.91,0.91,1.0,6.9,8.0
7,1.15,0.94,1.3,1.66,1.56,1.3,1.0,0.71,0.91,1.0,1.21,1.14,1.1,1.1,1.08,22.0,1075.0
8,1.15,0.94,1.3,1.3,1.21,1.15,1.0,0.86,1.0,0.86,1.1,1.07,0.91,1.0,1.0,30.0,423.0
9,1.4,0.94,1.3,1.11,1.56,1.1,1.07,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.0,29.0,321.0
10,1.4,0.94,1.3,1.11,1.56,1.1,1.07,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.0,32.0,218.0
11,1.15,0.94,1.3,1.11,1.06,1.1,1.0,0.86,0.82,0.86,1.0,0.95,0.91,1.0,1.08,37.0,201.0
12,1.15,0.94,1.3,1.11,1.06,1.15,1.0,0.71,1.0,0.7,1.1,1.0,0.82,1.0,1.0,25.0,79.0
13,1.15,0.94,1.65,1.3,1.56,1.15,1.0,0.86,1.0,0.7,1.1,1.07,1.1,1.24,1.23,3.0,60.0
14,1.4,0.94,1.3,1.3,1.06,1.15,0.87,0.86,1.13,0.86,1.21,1.14,0.91,1.0,1.23,3.9,61.0
15,1.4,1.0,1.3,1.3,1.56,1.1,0.87,0.86,1.0,0.86,1.0,1.0,1.0,1.0,1.0,6.1,40.0
16,1.4,1.0,1.3,1.3,1.56,1.1,0.87,0.86,0.82,0.86,1.0,1.0,1.0,1.0,1.0,3.6,9.0
17,1.15,1.16,1.15,1.3,1.21,1.1,1.07,0.86,1.0,1.0,1.0,1.0,1.24,1.1,1.08,320.0,11400.0
18,1.15,1.08,1.0,1.11,1.21,0.87,0.87,0.71,0.91,1.0,1.0,1.0,0.91,0.91,1.0,1150.0,6600.0
19,1.4,1.08,1.3,1.11,1.21,1.15,1.07,0.71,0.82,1.17,1.1,1.07,1.24,1.0,1.08,299.0,6400.0
20,1.0,1.16,1.15,1.11,1.06,0.87,0.87,0.86,1.0,1.0,1.0,1.0,0.91,0.91,1.0,252.0,2455.0
21,1.15,1.0,1.0,1.3,1.06,1.1,1.0,0.86,0.82,0.86,0.9,1.0,0.91,1.0,1.23,118.0,724.0
22,1.15,1.0,1.0,1.11,1.06,1.1,1.0,0.86,0.82,0.86,0.9,1.0,1.0,1.0,1.23,77.0,539.0
23,0.88,1.0,0.85,1.11,1.06,1.1,0.87,1.0,1.29,1.0,1.1,0.95,0.82,0.83,1.0,90.0,453.0
24,1.15,1.16,1.3,1.11,1.06,1.1,0.87,0.86,1.0,0.86,1.1,1.0,0.82,0.91,1.08,38.0,523.0
25,0.88,1.0,0.85,1.11,1.06,1.15,1.07,0.86,1.0,0.86,1.1,1.0,0.91,1.1,1.08,48.0,387.0
26,1.15,0.94,1.15,1.3,1.21,1.1,0.87,1.0,1.0,1.0,1.0,1.0,0.82,1.1,1.08,9.4,88.0
27,1.15,1.08,1.3,1.11,1.21,1.15,1.07,0.86,1.0,0.86,1.1,1.07,1.1,1.1,1.0,13.0,98.0
28,0.88,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.29,0.86,1.0,1.0,0.91,0.91,1.23,2.14,7.3
29,0.88,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.29,0.86,1.0,1.0,0.91,0.91,1.23,1.98,5.9
30,1.4,1.08,1.0,1.66,1.56,1.15,1.07,0.86,0.82,0.86,1.1,1.07,1.0,1.0,1.0,62.0,1063.0
31,0.88,1.08,0.85,1.0,1.0,1.1,1.0,0.71,0.82,1.0,1.0,1.0,1.1,1.1,1.0,390.0,702.0
32,1.4,1.08,1.3,1.66,1.56,1.15,0.87,0.86,0.82,0.86,0.9,1.0,0.91,0.91,1.0,42.0,605.0
33,1.15,1.08,1.0,1.11,1.0,1.1,0.87,1.0,1.0,1.0,1.0,1.0,0.91,1.1,1.23,23.0,230.0
34,0.75,0.94,1.3,1.11,1.21,1.15,1.0,1.0,0.91,1.0,1.1,1.0,1.24,1.24,1.0,13.0,82.0
35,0.88,1.08,0.85,1.0,1.0,0.87,0.87,1.19,1.0,1.17,0.9,0.95,1.0,0.91,1.04,15.0,55.0
36,0.88,0.94,0.7,1.0,1.06,1.1,1.0,0.86,0.82,0.86,1.0,1.0,1.0,1.0,1.0,60.0,47.0
37,1.0,1.0,1.15,1.0,1.0,0.87,0.87,0.71,0.91,1.0,0.9,0.95,0.82,0.91,1.0,15.0,12.0
38,1.0,1.0,1.15,1.0,1.0,0.87,1.0,0.71,0.82,0.7,1.0,0.95,0.91,1.1,1.0,6.2,8.0
39,1.0,0.94,1.3,1.0,1.0,1.1,0.87,0.86,0.82,1.17,1.0,1.0,1.1,1.0,1.0,3.0,8.0
40,0.88,0.94,1.0,1.0,1.0,0.87,0.87,1.0,0.82,0.7,0.9,0.95,0.91,0.91,1.0,5.3,6.0
41,0.88,1.08,1.15,1.0,1.06,0.87,1.07,0.86,1.0,0.86,0.9,0.95,0.91,0.91,1.04,45.5,45.0
42,1.0,1.08,1.15,1.0,1.21,0.87,1.07,0.86,1.0,1.0,0.9,0.95,1.0,1.0,1.04,28.6,83.0
