A1,3652,30,10,57,0.26,0.26,75,20.13
A3,1547,5,5,22,0.15,0.17,33,15.37
A4,984,5,15,37,0.15,0.17,14,9.13
A9,3393,15,10,42,0.19,0.2,99,21.31
A10,1543,2,5,17,0.17,0.19,16,16.42
A11,1674,70,10,97,0.17,0.18,74,12.63
A12,861,2,10,22,0.93,0.89,23,3.43
A15,924,3,7,30,0.26,0.34,31,9.05
A16,1103,5,15,37,0.18,0.19,49,13.1
A17,1703,5,15,37,0.26,0.34,82,20.88
A19,423,6,5,17,0.2,0.21,7,3.17
A20,2163,10,5,27,0.22,0.24,36,15.66
A21,1417,5,40,62,0.1,0.1,33,15.43
A22,1931,10,5,32,0.16,0.17,61,18.59
A23,5030,12,20,32,0.26,0.29,24,26.17
A24,1030,7,28,52,0.43,0.45,28,13.12
A25,6553,10,10,37,0.89,0.85,34,35.79
A27,533,10,5,27,0.96,0.94,20,2.01
A29,466,5,5,22,0.18,0.21,24,2.39
A32,1672,30,15,62,0.84,0.81,50,13.59
A33,928,5,5,22,0.16,0.17,29,9.12
A34,665,15,5,37,0.18,0.19,28,7.12
B7,571,10,15,42,0.13,0.13,12,4.23
B14,1059,21,7,45,0.21,0.27,62,11.33
B24,380,5,6,30,0.16,0.18,16,4.14
B25,1457,15,5,37,0.27,0.31,36,14.43
B26,1061,10,5,27,0.22,0.25,44,13.65
B28,1202,35,10,62,0.1,0.1,59,13.54
B30,406,5,5,22,0.27,0.27,24,7.16
B31,795,10,5,32,0.3,0.29,25,2.65
